N;lv;E_1;S;M;C
12;0;−2.22817;0;0;675
12;1;−2.19833;0;-5;728
12;1;−2.20827;0;-3;728
12;1;−2.15854;0;-3;728
12;1;−2.09886;1;-5;728
12;1;−2.16849;0;-1;728
12;1;−2.16849;0;-1;728
12;1;−2.13864;1;-3;728
12;1;−2.08891;1;-3;728
12;1;−2.16849;0;1;728
12;1;−2.16849;0;1;728
12;1;−2.12870;1;-1;728
12;1;−2.12870;1;-1;728
12;1;−2.06901;1;-1;728
12;1;−2.20827;0;3;728
12;1;−2.15854;0;3;728
12;1;−2.09886;1;5;728
12;1;−2.12870;1;1;728
12;1;−2.12870;1;1;728
12;1;−2.06901;1;1;728
12;1;−2.19833;0;5;728
12;1;−2.08891;1;3;728
12;1;−2.13864;1;3;728
12;2;−2.07896;0;-10;783
12;2;−2.13317;0;-8;783
12;2;−2.08444;0;-8;783
12;2;−2.21493;0;-6;783
12;2;−2.18325;0;-6;783
12;2;−2.13360;0;-6;783
12;2;−2.09014;0;-6;783
12;2;−2.04511;0;-6;783
12;2;−2.01314;0;-6;783
12;2;−2.06549;1;-8;783
12;2;−2.01285;1;-8;783
12;2;−2.24575;0;-4;783
12;2;−2.22320;0;-4;783
12;2;−2.16288;0;-4;783
12;2;−2.14222;0;-4;783
12;2;−2.10358;0;-4;783
12;2;−2.09125;0;-4;783
12;2;−2.07590;0;-4;783
12;2;−2.03221;0;-4;783
12;2;−1.97684;0;-4;783
12;2;−2.09190;1;-6;783
12;2;−1.90986;2;6;783
12;2;−2.07225;1;-6;783
12;2;−2.04189;1;-6;783
12;2;−2.03128;1;-6;783
12;2;−1.96104;1;-6;783
12;2;−2.27684;0;-2;783
12;2;−2.23689;0;-2;783
12;2;−2.19335;0;-2;783
12;2;−2.18070;0;-2;783
12;2;−2.16995;0;-2;783
12;2;−2.13840;0;-2;783
12;2;−2.13292;0;-2;783
12;2;−2.11758;0;-2;783
12;2;−2.08609;0;-2;783
12;2;−2.07072;0;-2;783
12;2;−2.05632;0;-2;783
12;2;−2.03049;0;-2;783
12;2;−2.00765;0;-2;783
12;2;−2.15538;1;-4;783
12;2;−1.94719;0;-2;783
12;2;−2.12990;1;-4;783
12;2;−1.89579;2;4;783
12;2;−2.08482;1;-4;783
12;2;−1.92393;2;4;783
12;2;−2.07420;1;-4;783
12;2;−2.06051;1;-4;783
12;2;−2.03801;1;-4;783
12;2;−2.02912;1;-4;783
12;2;−2.01744;1;-4;783
12;2;−1.98009;1;-4;783
12;2;−1.96298;1;-4;783
12;2;−1.95317;1;-4;783
12;2;−2.32493;0;0;783
12;2;−2.20556;0;0;783
12;2;−2.19210;0;0;783
12;2;−2.01285;1;8;783
12;2;−2.18431;0;0;783
12;2;−2.18239;0;0;783
12;2;−2.14399;0;0;783
12;2;−2.06549;1;8;783
12;2;−2.12649;0;0;783
12;2;−2.11329;0;0;783
