N;lv;E_1;S;M;C
6;0;-0.79577;0;0;63
6;1;-0.65651;1;3;80
6;1;-0.69630;1;1;80
6;1;-0.63662;1;1;80
6;1;-0.69630;1;-1;80
6;1;-0.63662;1;-1;80
6;1;-0.65651;1;-3;80
6;1;-0.77588;0;3;80
6;1;-0.73609;0;1;80
6;1;-0.73609;0;-1;80
6;1;-0.77588;0;-3;80
6;2;-0.43768;2;2;99
6;2;-0.39789;2;0;99
6;2;-0.43768;2;-2;99
6;2;-0.61673;1;4;99
6;2;-0.53715;1;4;99
6;2;-0.54757;1;2;99
6;2;-0.64808;1;2;99
6;2;-0.52740;1;2;99
6;2;-0.70406;1;2;99
6;2;-0.54500;1;0;99
6;2;-0.48995;1;0;99
6;2;-0.60424;1;0;99
6;2;-0.69630;1;0;99
6;2;-0.68846;1;0;99
6;2;-0.70406;1;-2;99
6;2;-0.64808;1;-2;99
6;2;-0.54757;1;-2;99
6;2;-0.52740;1;-2;99
6;2;-0.61673;1;-4;99
6;2;-0.53715;1;-4;99
6;2;-0.65651;0;6;99
6;2;-0.74814;0;4;99
6;2;-0.60468;0;4;99
6;2;-0.61262;0;2;99
6;2;-0.53065;0;2;99
6;2;-0.69299;0;2;99
6;2;-0.73189;0;2;99
6;2;-0.83378;0;2;99
6;2;-0.65651;0;0;99
6;2;-0.87285;0;0;99
6;2;-0.74097;0;0;99
6;2;-0.59446;0;0;99
6;2;-0.53065;0;-2;99
6;2;-0.73189;0;-2;99
6;2;-0.69299;0;-2;99
6;2;-0.61262;0;-2;99
6;2;-0.83378;0;-2;99
6;2;-0.60468;0;-4;99
6;2;-0.74814;0;-4;99
6;2;-0.65651;0;-6;99
6;3;-0.37799;2;5;120
6;3;-0.31831;2;3;120
6;3;-0.41778;2;3;120
6;3;-0.33982;2;1;120
6;3;-0.46435;2;1;120
6;3;-0.28421;2;1;120
6;3;-0.42360;2;1;120
6;3;-0.33982;2;-1;120
6;3;-0.28421;2;-1;120
6;3;-0.42360;2;-1;120
6;3;-0.46435;2;-1;120
6;3;-0.31831;2;-3;120
6;3;-0.41778;2;-3;120
6;3;-0.37799;2;-5;120
6;3;-0.55704;1;7;120
6;3;-0.48147;1;5;120
6;3;-0.59342;1;5;120
6;3;-0.61411;1;5;120
6;3;-0.65015;1;5;120
6;3;-0.48088;1;5;120
6;3;-0.47848;1;3;120
6;3;-0.38191;1;3;120
6;3;-0.49423;1;3;120
6;3;-0.52613;1;3;120
6;3;-0.59209;1;3;120
6;3;-0.63421;1;3;120
6;3;-0.65319;1;3;120
