N;lv;E_1;S;M;C
6;3;-0.69860;1;3;120
6;3;-0.42651;1;3;120
6;3;-0.58063;1;3;120
6;3;-0.50483;1;1;120
6;3;-0.40744;1;1;120
6;3;-0.45765;1;1;120
6;3;-0.68376;1;1;120
6;3;-0.72569;1;1;120
6;3;-0.39442;1;1;120
6;3;-0.47348;1;1;120
6;3;-0.53628;1;1;120
6;3;-0.53862;1;1;120
6;3;-0.55337;1;1;120
6;3;-0.60352;1;1;120
6;3;-0.61856;1;1;120
6;3;-0.65442;1;1;120
6;3;-0.45765;1;-1;120
6;3;-0.47348;1;-1;120
6;3;-0.72569;1;-1;120
6;3;-0.68376;1;-1;120
6;3;-0.53862;1;-1;120
6;3;-0.65442;1;-1;120
6;3;-0.60352;1;-1;120
6;3;-0.39442;1;-1;120
6;3;-0.40744;1;-1;120
6;3;-0.50483;1;-1;120
6;3;-0.53628;1;-1;120
6;3;-0.55337;1;-1;120
6;3;-0.61856;1;-1;120
6;3;-0.69860;1;-3;120
6;3;-0.65319;1;-3;120
6;3;-0.52613;1;-3;120
6;3;-0.63421;1;-3;120
6;3;-0.59209;1;-3;120
6;3;-0.58063;1;-3;120
6;3;-0.49423;1;-3;120
6;3;-0.47848;1;-3;120
6;3;-0.42651;1;-3;120
6;3;-0.38191;1;-3;120
6;3;-0.59342;1;-5;120
6;3;-0.48147;1;-5;120
6;3;-0.48088;1;-5;120
6;3;-0.65015;1;-5;120
6;3;-0.61411;1;-5;120
6;3;-0.55704;1;-7;120
6;3;-0.54315;0;5;120
6;3;-0.61673;0;5;120
6;3;-0.73507;0;5;120
6;3;-0.53988;0;3;120
6;3;-0.57694;0;3;120
6;3;-0.70172;0;3;120
6;3;-0.46629;0;3;120
6;3;-0.64200;0;3;120
6;3;-0.73871;0;3;120
6;3;-0.74220;0;1;120
6;3;-0.71481;0;1;120
6;3;-0.67283;0;1;120
6;3;-0.60577;0;1;120
6;3;-0.56290;0;1;120
6;3;-0.49736;0;1;120
6;3;-0.77184;0;1;120
6;3;-0.53520;0;1;120
6;3;-0.77184;0;-1;120
6;3;-0.53520;0;-1;120
6;3;-0.71481;0;-1;120
6;3;-0.60577;0;-1;120
6;3;-0.49736;0;-1;120
6;3;-0.74220;0;-1;120
6;3;-0.67283;0;-1;120
6;3;-0.56290;0;-1;120
6;3;-0.73871;0;-3;120
6;3;-0.70172;0;-3;120
6;3;-0.64200;0;-3;120
6;3;-0.57694;0;-3;120
6;3;-0.46629;0;-3;120
6;3;-0.53988;0;-3;120
6;3;-0.61673;0;-5;120
6;3;-0.54315;0;-5;120
6;3;-0.73507;0;-5;120
6;4;0.00000;3;0;143
6;4;-0.32826;2;6;143
6;4;-0.37799;2;6;143
6;4;-0.19035;2;4;143
6;4;-0.28721;2;4;143
6;4;-0.31233;2;4;143
6;4;-0.40728;2;4;143
6;4;-0.42423;2;4;143
6;4;-0.41778;2;4;143
6;4;-0.24862;2;2;143
6;4;-0.26264;2;2;143
6;4;-0.28844;2;2;143
6;4;-0.34659;2;2;143
6;4;-0.37489;2;2;143
6;4;-0.42318;2;2;143
6;4;-0.43360;2;2;143
6;4;-0.17847;2;2;143
6;4;-0.20625;2;0;143
6;4;-0.27008;2;0;143
6;4;-0.29899;2;0;143
6;4;-0.32364;2;0;143
6;4;-0.37799;2;0;143
6;4;-0.38065;2;0;143
6;4;-0.24003;2;0;143
6;4;-0.39256;2;0;143
6;4;-0.44574;2;0;143
6;4;-0.46601;2;0;143
6;4;-0.26264;2;-2;143
6;4;-0.28844;2;-2;143
6;4;-0.42318;2;-2;143
6;4;-0.43360;2;-2;143
6;4;-0.17847;2;-2;143
6;4;-0.24862;2;-2;143
6;4;-0.34659;2;-2;143
6;4;-0.37489;2;-2;143
6;4;-0.19035;2;-4;143
6;4;-0.42423;2;-4;143
6;4;-0.41778;2;-4;143
6;4;-0.28721;2;-4;143
6;4;-0.31233;2;-4;143
6;4;-0.40728;2;-4;143
6;4;-0.32826;2;-6;143
6;4;-0.37799;2;-6;143
6;4;-0.48244;1;8;143
6;4;-0.57319;1;6;143
6;4;-0.40165;1;6;143
6;4;-0.45711;1;6;143
6;4;-0.48705;1;6;143
6;4;-0.53813;1;6;143
6;4;-0.61004;1;6;143
6;4;-0.34006;1;6;143
6;4;-0.58656;1;6;143
6;4;-0.38650;1;4;143
6;4;-0.38844;1;4;143
6;4;-0.31158;1;4;143
6;4;-0.54824;1;4;143
6;4;-0.57128;1;4;143
6;4;-0.60505;1;4;143
6;4;-0.43757;1;4;143
6;4;-0.46073;1;4;143
6;4;-0.47595;1;4;143
6;4;-0.51007;1;4;143
6;4;-0.52481;1;4;143
6;4;-0.68429;1;4;143
6;4;-0.41572;1;4;143
6;4;-0.55355;1;4;143
6;4;-0.63514;1;4;143
6;4;-0.64777;1;4;143
6;4;-0.36623;1;2;143
6;4;-0.38114;1;2;143
6;4;-0.40555;1;2;143
6;4;-0.42872;1;2;143
6;4;-0.66557;1;2;143
6;4;-0.35402;1;2;143
6;4;-0.38799;1;2;143
6;4;-0.47187;1;2;143
6;4;-0.48639;1;2;143
6;4;-0.49717;1;2;143
6;4;-0.49979;1;2;143
6;4;-0.50667;1;2;143
6;4;-0.56481;1;2;143
6;4;-0.59069;1;2;143
6;4;-0.62881;1;2;143
6;4;-0.64188;1;2;143
6;4;-0.66962;1;2;143
6;4;-0.27730;1;2;143
6;4;-0.44164;1;2;143
6;4;-0.45905;1;2;143
6;4;-0.53267;1;2;143
6;4;-0.55604;1;2;143
6;4;-0.60438;1;2;143
6;4;-0.70267;1;2;143
6;4;-0.41475;1;0;143
6;4;-0.57956;1;0;143
6;4;-0.58442;1;0;143
6;4;-0.58991;1;0;143
6;4;-0.59115;1;0;143
6;4;-0.62793;1;0;143
6;4;-0.65674;1;0;143
6;4;-0.66498;1;0;143
6;4;-0.67653;1;0;143
6;4;-0.31106;1;0;143
6;4;-0.32298;1;0;143
6;4;-0.35707;1;0;143
6;4;-0.50861;1;0;143
6;4;-0.51171;1;0;143
6;4;-0.53482;1;0;143
6;4;-0.61009;1;0;143
6;4;-0.68550;1;0;143
6;4;-0.36020;1;0;143
6;4;-0.40911;1;0;143
6;4;-0.43037;1;0;143
6;4;-0.44142;1;0;143
6;4;-0.46361;1;0;143
6;4;-0.46950;1;0;143
6;4;-0.47544;1;0;143
6;4;-0.48581;1;0;143
6;4;-0.52127;1;0;143
6;4;-0.71114;1;0;143
6;4;-0.62881;1;-2;143
6;4;-0.60438;1;-2;143
6;4;-0.56481;1;-2;143
6;4;-0.55604;1;-2;143
6;4;-0.53267;1;-2;143
6;4;-0.45905;1;-2;143
6;4;-0.42872;1;-2;143
6;4;-0.40555;1;-2;143
6;4;-0.38799;1;-2;143
6;4;-0.38114;1;-2;143
6;4;-0.36623;1;-2;143
6;4;-0.70267;1;-2;143
6;4;-0.66962;1;-2;143
6;4;-0.66557;1;-2;143
6;4;-0.64188;1;-2;143
6;4;-0.49979;1;-2;143
6;4;-0.49717;1;-2;143
6;4;-0.48639;1;-2;143
6;4;-0.44164;1;-2;143
6;4;-0.59069;1;-2;143
6;4;-0.50667;1;-2;143
6;4;-0.47187;1;-2;143
6;4;-0.35402;1;-2;143
6;4;-0.27730;1;-2;143
6;4;-0.68429;1;-4;143
6;4;-0.60505;1;-4;143
6;4;-0.57128;1;-4;143
6;4;-0.55355;1;-4;143
6;4;-0.54824;1;-4;143
6;4;-0.52481;1;-4;143
6;4;-0.43757;1;-4;143
6;4;-0.41572;1;-4;143
6;4;-0.38844;1;-4;143
6;4;-0.31158;1;-4;143
6;4;-0.64777;1;-4;143
6;4;-0.63514;1;-4;143
6;4;-0.51007;1;-4;143
6;4;-0.47595;1;-4;143
6;4;-0.46073;1;-4;143
6;4;-0.38650;1;-4;143
6;4;-0.61004;1;-6;143
6;4;-0.53813;1;-6;143
6;4;-0.40165;1;-6;143
6;4;-0.34006;1;-6;143
6;4;-0.58656;1;-6;143
6;4;-0.57319;1;-6;143
6;4;-0.48705;1;-6;143
6;4;-0.45711;1;-6;143
6;4;-0.48244;1;-8;143
6;4;-0.63242;0;8;143
6;4;-0.47172;0;8;143
6;4;-0.45152;0;6;143
6;4;-0.50082;0;6;143
6;4;-0.65360;0;6;143
6;4;-0.70767;0;6;143
6;4;-0.54766;0;6;143
6;4;-0.59538;0;6;143
6;4;-0.49425;0;4;143
6;4;-0.41357;0;4;143
6;4;-0.42349;0;4;143
6;4;-0.55497;0;4;143
6;4;-0.60767;0;4;143
6;4;-0.64398;0;4;143
6;4;-0.65443;0;4;143
6;4;-0.72809;0;4;143
6;4;-0.75566;0;4;143
6;4;-0.78748;0;4;143
6;4;-0.38641;0;4;143
6;4;-0.52375;0;4;143
6;4;-0.53485;0;4;143
6;4;-0.57845;0;4;143
6;4;-0.37249;0;2;143
6;4;-0.42383;0;2;143
6;4;-0.56336;0;2;143
6;4;-0.63430;0;2;143
6;4;-0.65491;0;2;143
6;4;-0.68614;0;2;143
6;4;-0.47883;0;2;143
6;4;-0.52878;0;2;143
6;4;-0.60554;0;2;143
6;4;-0.75300;0;2;143
6;4;-0.47772;0;2;143
6;4;-0.49003;0;2;143
6;4;-0.58861;0;2;143
6;4;-0.70669;0;2;143
6;4;-0.72367;0;2;143
6;4;-0.78680;0;2;143
6;4;-0.82505;0;0;143
6;4;-0.78703;0;0;143
6;4;-0.76586;0;0;143
6;4;-0.71091;0;0;143
6;4;-0.67159;0;0;143
6;4;-0.65165;0;0;143
6;4;-0.60283;0;0;143
6;4;-0.58220;0;0;143
6;4;-0.52280;0;0;143
6;4;-0.52197;0;0;143
6;4;-0.47748;0;0;143
6;4;-0.46923;0;0;143
6;4;-0.45520;0;0;143
6;4;-0.44254;0;0;143
6;4;-0.69672;0;0;143
6;4;-0.58089;0;0;143
6;4;-0.56728;0;0;143
6;4;-0.56489;0;0;143
6;4;-0.50189;0;0;143
6;4;-0.37889;0;0;143
6;4;-0.31888;0;0;143
6;4;-0.63430;0;-2;143
6;4;-0.60554;0;-2;143
6;4;-0.58861;0;-2;143
6;4;-0.49003;0;-2;143
6;4;-0.47883;0;-2;143
6;4;-0.47772;0;-2;143
6;4;-0.78680;0;-2;143
6;4;-0.75300;0;-2;143
6;4;-0.52878;0;-2;143
6;4;-0.42383;0;-2;143
6;4;-0.37249;0;-2;143
6;4;-0.72367;0;-2;143
6;4;-0.70669;0;-2;143
6;4;-0.68614;0;-2;143
6;4;-0.65491;0;-2;143
6;4;-0.56336;0;-2;143
6;4;-0.64398;0;-4;143
6;4;-0.60767;0;-4;143
6;4;-0.75566;0;-4;143
6;4;-0.78748;0;-4;143
6;4;-0.72809;0;-4;143
6;4;-0.65443;0;-4;143
6;4;-0.53485;0;-4;143
6;4;-0.41357;0;-4;143
6;4;-0.57845;0;-4;143
6;4;-0.55497;0;-4;143
6;4;-0.52375;0;-4;143
6;4;-0.49425;0;-4;143
6;4;-0.42349;0;-4;143
6;4;-0.38641;0;-4;143
6;4;-0.54766;0;-6;143
6;4;-0.50082;0;-6;143
6;4;-0.45152;0;-6;143
6;4;-0.70767;0;-6;143
6;4;-0.65360;0;-6;143
6;4;-0.59538;0;-6;143
6;4;-0.63242;0;-8;143
6;4;-0.47172;0;-8;143
