N;lv;E_1;S;M;T
8;0;-1.173767705282355;0;-4.;195
8;0;-1.1936620731678342;0;-1.9999999999999998;195
8;0;-1.2732395447134017;0;0;195
8;0;-1.153873337396032;0;0;195
8;0;-1.1140846016231496;0.9999999999999998;-1.9999999999999996;195
8;0;-1.1140846016231496;1.;2.;195
8;0;-1.173767705282355;0;4.;195
8;0;-1.1936620731678342;0;1.9999999999999993;195
8;0;-1.1140846016233095;1.;0;195
8;1;-1.094190233739571;0;-5.000000000000002;224
8;1;-0.8753521869902947;1.9999999999999996;0.9999999999999996;224
8;1;-1.2230846907233044;0;-2.9999999999999996;224
8;1;-1.120156424232892;0;-3.0000000000000004;224
8;1;-1.0189070578057233;0;-3.;224
8;1;-1.0803193957751152;0.9999999999999993;-4.9999999999999964;224
8;1;-1.0085892322693812;1.;-5.;224
8;1;-1.0085892322693812;1.;5.;224
8;1;-1.080319395775117;1.0000000000000009;5.000000000000005;224
8;1;-0.8753521869902947;2.;-0.9999999999999998;224
8;1;-1.2160055496623148;0;-0.9999999999999996;224
8;1;-1.1140846016247572;0;-1.0000000000000002;224
8;1;-1.0519523893611922;0;-1.;224
8;1;-1.099572337067798;1.0000000000000002;-3.000000000000001;224
8;1;-1.0810863047893235;1.0000000000000002;-3.000000000000001;224
8;1;-0.9825458520398733;0.9999999999999993;2.9999999999999973;224
8;1;-0.9947183943080589;1.0000000000000002;3.000000000000001;224
8;1;-0.9947183943080589;1.0000000000000002;-3.000000000000001;224
8;1;-0.9825458520398769;1.0000000000000002;-3.000000000000001;224
8;1;-1.0810863047893218;0.9999999999999998;2.9999999999999987;224
8;1;-1.099572337067798;1.;3.;224
8;1;-1.094190233739571;0;4.999999999999998;224
8;1;-1.2160055496623166;0;1.0000000000000009;224
8;1;-1.1140846016247572;0;1.;224
8;1;-1.0519523893611904;0;0.9999999999999993;224
8;1;-1.0859382957750014;1.;-1.0000000000000002;224
8;1;-1.0632526365043233;1.0000000000000002;-1.;224
8;1;-0.9601250169326825;0.9999999999999996;0.9999999999999994;224
8;1;-0.9889238353339991;1.0000000000000002;1.0000000000000004;224
8;1;-0.9889238353339991;0.9999999999999998;-0.9999999999999996;224
8;1;-0.9601250169326825;1.0000000000000002;-1.;224
8;1;-1.0632526365043233;1.0000000000000002;1.;224
8;1;-1.0859382957750014;1.;1.;224
8;1;-1.0189070578057233;0;2.999999999999999;224
8;1;-1.1201564242328903;0;2.9999999999999987;224
8;1;-1.2230846907233044;0;2.9999999999999987;224
8;1;-1.153873337398574;0;-1.;224
8;1;-1.153873337398574;0;1.;224
8;1;-1.1140846016271997;0.9999999999999998;-0.9999999999999994;224
8;1;-1.1140846016229702;0.9999999999999998;0.9999999999999996;224
8;2;-0.8355634512171015;1.9999999999999996;5.999999999999997;255
8;2;-1.0643486819107082;0;-7.999999999999999;255
