N;lv;E_1;S;M;T
4;0;-0.39788735771977635;0;-2.;15
4;0;-0.31830988617381006;1.;0;15
4;0;-0.4774648292657435;0;0;15
4;0;-0.39788735771977635;0;2.;15
4;1;-0.2785211504056777;1.0000000000000002;3.0000000000000018;24
4;1;-0.19894367885994768;1.0000000000000007;1.0000000000000009;24
4;1;-0.31830988617631384;0;-0.9999999999999997;24
4;1;-0.2785211504056777;1.0000000000000002;-3.0000000000000018;24
4;1;-0.19894367885994768;1.;-1.;24
4;1;-0.31830988617631384;0;0.9999999999999996;24
4;1;-0.31830988617865597;1.;0.9999999999999999;24
4;1;-0.31830988617865597;1.;-1.;24
4;2;0;2.;2.;35
4;2;0;2.;0;35
4;2;-0.1989436788599388;1.0000000000000009;4.000000000000005;35
4;2;0;2.;-1.9999999999999998;35
4;2;-0.35356274332901805;0;-3.9999999999999987;35
4;2;-0.18358518959828274;0;-3.999999999999999;35
4;2;-0.14267390910186073;0.9999999999999998;1.9999999999999984;35
4;2;-0.25521344861794937;0.9999999999999998;1.9999999999999991;35
4;2;-0.18358518959828274;0;3.9999999999999982;35
4;2;-0.35356274332901805;0;4.;35
4;2;-0.23873241463422623;0;-1.9999999999999991;35
4;2;-0.11936620731593095;1.0000000000000002;0;35
4;2;-0.1989436788599379;0.9999999999999998;-3.999999999999999;35
4;2;-0.2785211504058278;1.;0;35
4;2;-0.23873241463422623;0;1.9999999999999991;35
4;2;-0.4258016274958818;0;0;35
4;2;-0.23873241463049055;0;0;35
4;2;-0.1710294090921094;0;0;35
4;2;-0.14267390910186073;0.9999999999999998;-1.9999999999999993;35
4;2;-0.25521344861794937;1.;-1.9999999999999998;35
4;2;-0.3183098861763263;1.;1.9999999999999998;35
4;2;-0.39788735772467376;0;-1.9999999999999991;35
4;2;-0.3978873577200561;0;1.9999999999999987;35
4;2;-0.3183098861809519;1.;-1.9999999999999996;35
