N;lv;E_1;S;M;T
14;0;-2.7553699522511437;0;-6.;1155
14;0;-2.7653171361939783;0;-4.;1155
14;0;-2.7852115040803156;0;-2.;1155
14;0;-2.735475584364025;0;-2.;1155
14;0;-2.705634032534519;1.;-3.999999999999999;1155
14;0;-2.864788975626446;0;0;1155
14;0;-2.7454227683075274;0;0;1155
14;0;-2.705634032534519;1.0000000000000002;-2.000000000000001;1155
14;0;-2.7852115040803156;0;2.;1155
14;0;-2.735475584364025;0;2.;1155
14;0;-2.7056340325348955;0.9999999999999998;0;1155
14;0;-2.7056340325341424;0.9999999999999998;0;1155
14;0;-2.7653171361939854;0;4.0000000000000036;1155
14;0;-2.705634032534519;1.0000000000000002;2.;1155
14;0;-2.7553699522511437;0;6.;1155
14;0;-2.705634032534519;1.;4.000000000000001;1155
14;1;-2.6857396646491267;0;-8.999999999999998;1224
14;1;-2.766734392070269;0;-7.000000000000002;1224
14;1;-2.6733741733672503;0;-6.999999999999998;1224
14;1;-2.6444651843539546;0;-6.999999999999996;1224
14;1;-2.6260565609896744;1.0000000000000002;-9.000000000000002;1224
14;1;-2.8088755877895366;0;-5.;1224
14;1;-2.739118288050605;0;-4.999999999999998;1224
14;1;-2.70687703950054;0;-4.999999999999997;1224
14;1;-2.6871352806403195;0;-5.000000000000002;1224
14;1;-2.6617998221663086;0;-5.000000000000002;1224
14;1;-2.5827490533360518;0;-5.000000000000002;1224
14;1;-2.678918369236591;0.9999999999999998;-6.999999999999997;1224
14;1;-2.6437587513140954;1.0000000000000002;-7.000000000000001;1224
14;1;-2.6079797807958442;1.0000000000000002;-7.000000000000002;1224
14;1;-2.583516526555705;1.0000000000000004;-7.0000000000000036;1224
14;1;-2.8250136956586474;0;-3.000000000000001;1224
14;1;-2.780016183500173;0;-3.0000000000000013;1224
14;1;-2.7554199057482975;0;-3.;1224
14;1;-2.7322074720310425;0;-3.000000000000002;1224
14;1;-2.7149627144533923;0;-3.000000000000001;1224
14;1;-2.6889701609030254;0;-3.0000000000000018;1224
14;1;-2.6677581604685514;0;-2.9999999999999996;1224
14;1;-2.6504394785534444;0;-2.9999999999999996;1224
14;1;-2.5931148291774875;0;-2.999999999999999;1224
14;1;-2.7073690000433785;0.9999999999999998;-4.999999999999999;1224
14;1;-2.7024054585576636;1.0000000000000002;-5.000000000000003;1224
14;1;-2.665965477104834;0.9999999999999998;-4.999999999999998;1224
14;1;-2.640531958521784;1.0000000000000007;-5.000000000000005;1224
14;1;-2.6223951068443156;1.0000000000000002;-5.000000000000002;1224
14;1;-2.6131983498189584;0.9999999999999991;-4.999999999999994;1224
14;1;-2.5744117247311564;1.0000000000000002;-5.;1224
14;1;-2.5617528838411516;0.9999999999999998;-4.999999999999997;1224
14;1;-2.8082188343303898;0;-0.9999999999999996;1224
14;1;-2.7705364907705956;0;-1.;1224
14;1;-2.768116799190011;0;-1.0000000000000007;1224
14;1;-2.753178538953101;0;-0.9999999999999996;1224
14;1;-2.744204572107634;0;-1.;1224
14;1;-2.710954017486415;0;-1.;1224
14;1;-2.7042840388728564;0;-0.9999999999999997;1224
14;1;-2.6721077909919373;0;-0.9999999999999998;1224
