N;lv;E_1;S;M;T
20;0;-4.7746482927246205;0;0;3363
20;1;-4.738589750930913;0;-7.0000000000000036;3480
20;1;-4.744806740895527;0;-5.;3480
20;1;-4.701287811143985;0;-5.000000000000002;3480
20;1;-4.651551891427495;0.9999999999999993;-6.999999999999993;3480
20;1;-4.75475392483898;0;-3.0000000000000004;3480
20;1;-4.713721791073027;0;-3.0000000000000004;3480
20;1;-4.705018005122625;0;-3.;3480
20;1;-4.688853831214708;1.;-5.;3480
20;1;-4.645334901463315;1.0000000000000002;-5.000000000000003;3480
20;1;-4.714965189065957;0;-1.0000000000000007;3480
20;1;-4.714965189065651;0;-0.9999999999999994;3480
20;1;-4.706261403115683;0;-0.9999999999999999;3480
20;1;-4.6851236372361456;1.0000000000000002;-3.0000000000000004;3480
20;1;-4.676419851285871;1.;-3.;3480
20;1;-4.6353877175200395;1.0000000000000002;-3.;3480
20;1;-4.71496518906595;0;1.;3480
20;1;-4.7149651890656585;0;1.0000000000000007;3480
20;1;-4.706261403115683;0;1.0000000000000004;3480
20;1;-4.6838802392433365;1.0000000000000004;-1.0000000000000007;3480
20;1;-4.6751764532928135;1.0000000000000002;-1.0000000000000004;3480
20;1;-4.675176453292728;1.0000000000000004;-1.0000000000000007;3480
20;1;-4.615493349633503;1.;-1.0000000000000002;3480
20;1;-4.75475392483898;0;3.0000000000000004;3480
20;1;-4.713721791073027;0;3.000000000000001;3480
20;1;-4.705018005122625;0;3.;3480
20;1;-4.6838802392433365;1.;1.;3480
20;1;-4.6751764532928135;1.;1.0000000000000002;3480
20;1;-4.675176453292728;1.0000000000000007;1.0000000000000007;3480
20;1;-4.615493349633496;1.0000000000000002;1.0000000000000002;3480
20;1;-4.744806740895527;0;5.000000000000001;3480
20;1;-4.7012878111439775;0;5.;3480
20;1;-4.6851236372361456;1.;3.;3480
20;1;-4.676419851285871;1.0000000000000002;3.000000000000001;3480
20;1;-4.6353877175200395;1.0000000000000002;3.0000000000000004;3480
20;1;-4.738589750930913;0;7.;3480
20;1;-4.688853831214708;1.0000000000000002;5.000000000000001;3480
20;1;-4.645334901463315;1.0000000000000002;5.000000000000001;3480
20;1;-4.651551891427502;1.0000000000000002;7.000000000000005;3480
20;2;-4.621710339598316;0;-14.000000000000007;3599
20;2;-4.666907050387522;0;-11.999999999999986;3599
20;2;-4.623762752539875;0;-12.000000000000004;3599
20;2;-4.736656036559161;0;-10.000000000000007;3599
20;2;-4.679086915231515;0;-9.999999999999996;3599
20;2;-4.66554867310245;0;-9.999999999999995;3599
20;2;-4.634964896497351;0;-10.000000000000007;3599
20;2;-4.627614895049973;0;-9.999999999999998;3599
20;2;-4.586577698009066;0;-9.999999999999998;3599
20;2;-4.613041065871833;1.0000000000000009;-12.000000000000014;3599
20;2;-4.5682097136798845;1.0000000000000002;-12.000000000000002;3599
20;2;-4.763411977638256;0;-8.000000000000004;3599
20;2;-4.732346364833745;0;-8.000000000000007;3599
20;2;-4.707003395195088;0;-8.000000000000004;3599
20;2;-4.6708100806777395;0;-7.999999999999998;3599
20;2;-4.666442402776376;0;-7.999999999999998;3599
20;2;-4.638637839831411;0;-7.9999999999999964;3599
20;2;-4.634656713650429;0;-7.9999999999999964;3599
20;2;-4.6293413339817135;0;-8.000000000000007;3599
20;2;-4.595576785595142;0;-7.999999999999995;3599
20;2;-4.550652501684745;0;-8.;3599
20;2;-4.635028308576629;0.9999999999999996;-9.999999999999996;3599
20;2;-4.615732077691234;1.;-10.;3599
20;2;-4.605346953835912;0.9999999999999998;-9.999999999999998;3599
20;2;-4.588729404604443;1.;-10.;3599
20;2;-4.560512919873638;0.9999999999999998;-9.999999999999998;3599
20;2;-4.7849864009745815;0;-6.000000000000001;3599
20;2;-4.770491469439257;0;-6.;3599
20;2;-4.747874530332716;0;-6.0000000000000036;3599
20;2;-4.712833028056409;0;-5.9999999999999964;3599
20;2;-4.705512508145183;0;-6.;3599
20;2;-4.691210063076461;0;-6.0000000000000036;3599
20;2;-4.685958827896158;0;-5.999999999999996;3599
20;2;-4.680580858238834;0;-6.;3599
20;2;-4.660614481064066;0;-6.;3599
20;2;-4.644903278178859;0;-6.000000000000004;3599
20;2;-4.641940558707354;0;-6.000000000000002;3599
20;2;-4.629365398807479;0;-6.000000000000002;3599
20;2;-4.617134469898893;0;-6.000000000000005;3599
20;2;-4.609180785228233;0;-6.000000000000003;3599
20;2;-4.60137206657059;0;-6.000000000000004;3599
20;2;-4.573488570674471;0;-6.000000000000002;3599
20;2;-4.552721737959807;0;-6.0000000000000036;3599
20;2;-4.528427433830309;0;-6.000000000000003;3599
20;2;-4.683397911236867;1.0000000000000002;-8.000000000000002;3599
20;2;-4.643380044563202;1.0000000000000004;-8.000000000000004;3599
20;2;-4.6318151171183;0.9999999999999998;-8.;3599
20;2;-4.621097373669905;0.9999999999999993;-7.999999999999992;3599
20;2;-4.611271921395655;0.9999999999999993;-7.999999999999993;3599
20;2;-4.599723828364276;1.;-8.000000000000002;3599
20;2;-4.595725627803226;0.9999999999999998;-7.999999999999998;3599
20;2;-4.588055322540875;0.9999999999999993;-7.999999999999992;3599
20;2;-4.576550837260221;1.000000000000001;-8.000000000000012;3599
20;2;-4.567850580132102;0.9999999999999998;-7.999999999999998;3599
20;2;-4.537317747724032;0.9999999999999998;-7.999999999999997;3599
20;2;-4.504678847084321;1.0000000000000002;-8.000000000000004;3599
20;2;-4.801164104348793;0;-4.000000000000002;3599
20;2;-4.783849309533501;0;-4.0000000000000036;3599
20;2;-4.7535054807661155;0;-4.0000000000000036;3599
20;2;-4.740908834674698;0;-4.000000000000002;3599
20;2;-4.716136724904899;0;-4.000000000000002;3599
20;2;-4.709885256496484;0;-4.000000000000002;3599
20;2;-4.703021161387568;0;-3.999999999999995;3599
20;2;-4.698694237181293;0;-3.999999999999998;3599
20;2;-4.6857416542195836;0;-4.000000000000002;3599
20;2;-4.6731276276734945;0;-4.000000000000005;3599
20;2;-4.670735641898098;0;-4.000000000000001;3599
20;2;-4.665790596289902;0;-4.000000000000003;3599
20;2;-4.660499268313224;0;-4.000000000000001;3599
20;2;-4.650317284539383;0;-4.;3599
20;2;-4.632440903121328;0;-4.000000000000001;3599
