N;lv;E_1;S;M;T
12;0;-2.228169203260393;0;0;675
12;1;-2.1983276514317254;0;-5.0000000000000036;728
12;1;-2.208274835375331;0;-3.;728
12;1;-2.1585389156588732;0;-3.0000000000000004;728
12;1;-2.098855811999293;1.;-5.000000000000001;728
12;1;-2.1684860996023048;0;-1.0000000000000002;728
12;1;-2.1684860996016937;0;-0.9999999999999999;728
12;1;-2.1386445477723868;1.;-3.0000000000000004;728
12;1;-2.0889086280564193;1.0000000000000002;-3.000000000000001;728
12;1;-2.1684860996023048;0;1.;728
12;1;-2.1684860996016972;0;1.0000000000000002;728
12;1;-2.1286973638293283;1.0000000000000002;-1.0000000000000002;728
12;1;-2.128697363828728;1.0000000000000002;-1.0000000000000002;728
12;1;-2.069014260169663;1.0000000000000002;-1.0000000000000002;728
12;1;-2.2082748353753345;0;3.;728
12;1;-2.1585389156588732;0;3.0000000000000004;728
12;1;-2.098855811999293;1.0000000000000002;5.0000000000000036;728
12;1;-2.128697363829332;1.0000000000000004;1.0000000000000007;728
12;1;-2.128697363828728;1.0000000000000002;1.0000000000000004;728
12;1;-2.0690142601696664;1.0000000000000002;1.0000000000000007;728
12;1;-2.1983276514317254;0;4.999999999999998;728
12;1;-2.0889086280564193;1.;3.0000000000000004;728
12;1;-2.1386445477723868;1.0000000000000002;3.;728
12;2;-2.0789614441134923;0;-10.000000000000009;783
12;2;-2.133168520981574;0;-8.;783
12;2;-2.084437470904472;0;-7.999999999999994;783
12;2;-2.214925060692689;0;-5.999999999999998;783
12;2;-2.1832540057329197;0;-6.0000000000000036;783
12;2;-2.133604993301276;0;-5.9999999999999964;783
12;2;-2.0901384229161266;0;-6.0000000000000036;783
12;2;-2.045108733240127;0;-5.999999999999999;783
12;2;-2.0131415156200845;0;-6.;783
12;2;-2.0654904832998646;0.9999999999999991;-7.999999999999989;783
12;2;-2.0128549333820374;1.0000000000000007;-8.000000000000007;783
12;2;-2.2457491859475773;0;-4.000000000000001;783
12;2;-2.2231974151327805;0;-4.000000000000001;783
12;2;-2.162880780121913;0;-4.0000000000000036;783
12;2;-2.1422206125350307;0;-4.000000000000001;783
12;2;-2.103584586570875;0;-4.000000000000002;783
12;2;-2.091245689474441;0;-3.9999999999999973;783
12;2;-2.075903975618246;0;-4.000000000000002;783
12;2;-2.032206058632262;0;-4.;783
12;2;-1.9768425390320026;0;-4.000000000000002;783
12;2;-2.0919026546531825;1.0000000000000002;-6.0000000000000036;783
12;2;-1.9098593170792242;1.9999999999999996;5.999999999999997;783
12;2;-2.072247551158952;1.0000000000000002;-6.000000000000002;783
12;2;-2.0418874628944472;0.9999999999999996;-5.9999999999999964;783
12;2;-2.0312752147469197;0.9999999999999998;-5.999999999999998;783
12;2;-1.9610374542358784;1.;-5.999999999999999;783
12;2;-2.276842682793795;0;-2.0000000000000004;783
12;2;-2.236894269124406;0;-2.000000000000001;783
12;2;-2.1933457841439683;0;-2.0000000000000018;783
12;2;-2.1807043621906423;0;-2.000000000000001;783
12;2;-2.169947896773884;0;-1.9999999999999998;783
12;2;-2.138400915156563;0;-2.0000000000000018;783
12;2;-2.1329221224346746;0;-1.9999999999999991;783
12;2;-2.117581621035459;0;-2.0000000000000004;783
12;2;-2.0860890926382396;0;-1.999999999999999;783
12;2;-2.0707220847478354;0;-1.9999999999999991;783
12;2;-2.056316338766379;0;-1.9999999999999996;783
12;2;-2.030493722836937;0;-1.9999999999999996;783
12;2;-2.0076464124356868;0;-2.0000000000000004;783
12;2;-2.1553776142709573;0.9999999999999998;-3.999999999999998;783
12;2;-1.9471876414349367;0;-2.000000000000001;783
12;2;-2.129898077485688;1.;-4.000000000000001;783
12;2;-1.8957918746388387;2.0000000000000004;4.;783
12;2;-2.084824884302712;1.0000000000000007;-4.0000000000000036;783
12;2;-1.9239267595187464;2.0000000000000004;4.000000000000002;783
12;2;-2.0742007806063754;1.;-3.9999999999999996;783
12;2;-2.060510163987278;1.0000000000000007;-4.000000000000004;783
12;2;-2.0380094388004615;1.0000000000000002;-4.000000000000002;783
12;2;-2.0291150844448893;0.9999999999999998;-3.9999999999999982;783
12;2;-2.017441195500229;0.9999999999999998;-3.9999999999999982;783
12;2;-1.9800882870973524;1.0000000000000002;-4.000000000000002;783
12;2;-1.9629780948034323;1.0000000000000002;-4.000000000000002;783
12;2;-1.953165682138966;1.0000000000000002;-4.000000000000003;783
12;2;-2.324926127351521;0;0;783
12;2;-2.2055567851633526;0;0;783
12;2;-2.1921000950787928;0;0;783
12;2;-2.0128549333820374;1.0000000000000007;8.000000000000007;783
12;2;-2.184313260655191;0;0;783
12;2;-2.1823858045568656;0;0;783
12;2;-2.1439933340251898;0;0;783
12;2;-2.065490483299868;0.9999999999999998;7.999999999999996;783
12;2;-2.126487552435435;0;0;783
12;2;-2.1132882236308745;0;0;783
12;2;-2.070329082846463;0;0;783
12;2;-2.0631125225971907;0;0;783
12;2;-2.027203664587873;0;0;783
12;2;-1.994920505345359;0;0;783
12;2;-1.9947128517985036;0;0;783
12;2;-2.164459057423194;1.0000000000000002;-2.0000000000000004;783
12;2;-2.158721502375254;1.0000000000000007;-2.0000000000000018;783
12;2;-1.8700705813061163;2.0000000000000004;2.000000000000001;783
12;2;-2.121802860224392;1.;-1.9999999999999996;783
12;2;-2.0789614441134887;0;10.000000000000004;783
12;2;-1.8817244321992064;2.;1.9999999999999998;783
12;2;-2.112725460807283;1.0000000000000002;-2.;783
12;2;-2.093519597243759;1.0000000000000002;-2.000000000000001;783
12;2;-2.0754551104196395;1.0000000000000002;-2.0000000000000004;783
12;2;-2.0645592040362857;1.;-2.;783
12;2;-1.9379942019590253;2.;2.;783
12;2;-2.0567183642458744;1.0000000000000002;-2.000000000000001;783
12;2;-1.9496480528516855;2.;2.;783
12;2;-2.0471773983885377;1.;-2.;783
12;2;-2.0132021230417934;0.9999999999999998;-1.9999999999999991;783
12;2;-1.9960734108945921;1.0000000000000004;-2.000000000000001;783
12;2;-1.9930843501201423;1.;-2.;783
12;2;-1.971257970650825;1.;-2.;783
12;2;-1.9618350237364872;1.;-2.;783
12;2;-1.9534560743867324;1.0000000000000002;-2.000000000000001;783
12;2;-2.276842682793795;0;1.9999999999999996;783
12;2;-1.9610374542358784;1.;6.;783
12;2;-2.236894269124406;0;2.;783
12;2;-2.1933457841439647;0;2.000000000000001;783
12;2;-2.1807043621906423;0;2.000000000000002;783
12;2;-2.1699478967738806;0;1.9999999999999984;783
12;2;-2.0312752147469197;1.;6.;783
12;2;-2.0418874628944472;1.0000000000000002;6.000000000000001;783
12;2;-2.138400915156563;0;2.0000000000000004;783
