N;lv;E_1;S;M;T
18;0;-4.02860949698244;0;-6.;2499
18;0;-4.038556680926092;0;-4.000000000000002;2499
18;0;-4.058451048812756;0;-1.9999999999999996;2499
18;0;-4.008715129096629;0;-2.;2499
18;0;-3.978873577266633;0.9999999999999998;-3.999999999999999;2499
18;0;-4.13802852035856;0;0;2499
18;0;-4.018662313039641;0;0;2499
18;0;-3.978873577266633;1.;-2.;2499
18;0;-4.058451048812756;0;2.0000000000000013;2499
18;0;-4.008715129096629;0;2.;2499
18;0;-3.9788735772670805;1.0000000000000002;0;2499
18;0;-3.978873577266185;1.;0;2499
18;0;-4.038556680926092;0;4.0000000000000036;2499
18;0;-3.978873577266633;1.0000000000000002;2.0000000000000004;2499
18;0;-4.028609496982433;0;5.999999999999995;2499
18;0;-3.978873577266633;1.0000000000000002;4.000000000000001;2499
18;1;-3.9664395973381303;0;-11.000000000000002;2600
18;1;-4.033155535873725;0;-9.00000000000001;2600
18;1;-3.983060084563867;0;-9.000000000000004;2600
18;1;-3.9303522953075785;0;-8.999999999999996;2600
18;1;-3.904269697692854;0.9999999999999993;-10.99999999999999;2600
18;1;-4.0748047162432215;0;-7.000000000000002;2600
18;1;-4.004543446117523;0;-7.000000000000005;2600
18;1;-3.9732565834562266;0;-7.000000000000002;2600
18;1;-3.9427856428562222;0;-7.000000000000001;2600
18;1;-3.933792641465047;0;-7.000000000000004;2600
18;1;-3.934265972851769;0.9999999999999996;-8.999999999999995;2600
18;1;-3.911031312062562;0.9999999999999998;-9.;2600
18;1;-3.882432584079446;0.9999999999999998;-8.999999999999995;2600
18;1;-4.088992862676221;0;-5.;2600
18;1;-4.057195471789598;0;-5.000000000000002;2600
18;1;-4.029586208765849;0;-5.000000000000002;2600
18;1;-3.990146780203979;0;-5.000000000000002;2600
18;1;-3.9829997790558664;0;-4.999999999999998;2600
18;1;-3.9555765448514393;0;-5.000000000000002;2600
18;1;-3.9515539854850275;0;-5.;2600
18;1;-3.9329706439926824;0;-5.000000000000002;2600
18;1;-3.912851370060892;0;-5.;2600
18;1;-3.9858039619493297;1.0000000000000002;-7.0000000000000036;2600
18;1;-3.979096517252188;1.0000000000000002;-7.000000000000004;2600
18;1;-3.939173632236397;1.0000000000000002;-7.000000000000001;2600
18;1;-3.9199421797669274;1.0000000000000002;-7.000000000000002;2600
18;1;-3.908713882551055;1.0000000000000004;-7.000000000000005;2600
18;1;-3.893043247682378;1.0000000000000002;-7.000000000000004;2600
18;1;-3.8645128034975897;1.0000000000000007;-7.000000000000007;2600
18;1;-4.1057783456247705;0;-2.9999999999999987;2600
18;1;-4.053731414967274;0;-3.000000000000001;2600
18;1;-4.03984928159764;0;-3.0000000000000018;2600
18;1;-4.026767882219914;0;-3.;2600
18;1;-4.020548061633718;0;-2.9999999999999982;2600
18;1;-4.000430261485256;0;-3.;2600
18;1;-3.9854995698323705;0;-2.9999999999999996;2600
18;1;-3.968084288020897;0;-3.000000000000001;2600
18;1;-3.963682448750596;0;-3.0000000000000013;2600
18;1;-3.9386545574418435;0;-3.;2600
18;1;-3.9227680161833973;0;-3.000000000000001;2600
18;1;-3.8922170179117472;0;-2.999999999999999;2600
18;1;-3.8471340945803973;0;-2.9999999999999982;2600
18;1;-4.020782730091597;1.0000000000000002;-5.000000000000002;2600
18;1;-3.9891940207909755;1.0000000000000002;-5.000000000000003;2600
18;1;-3.9626823795553534;1.0000000000000002;-5.000000000000001;2600
18;1;-3.956569351344605;1.;-5.;2600
18;1;-3.953557857520174;1.0000000000000004;-5.0000000000000036;2600
18;1;-3.9292760424558963;1.0000000000000007;-5.000000000000004;2600
18;1;-3.9115803570386234;1.0000000000000007;-5.0000000000000036;2600
18;1;-3.9077895260211335;1.0000000000000002;-5.000000000000002;2600
18;1;-3.884215669882934;1.;-5.000000000000001;2600
18;1;-3.8816718011497215;1.0000000000000002;-5.000000000000002;2600
18;1;-3.859998289380357;0.9999999999999993;-4.9999999999999964;2600
18;1;-3.851301731616452;0.9999999999999998;-4.999999999999998;2600
18;1;-4.062826935338926;0;-0.9999999999999997;2600
18;1;-4.05257158897254;0;-1.0000000000000004;2600
18;1;-4.046824668111945;0;-1.0000000000000004;2600
18;1;-4.042177706030515;0;-1.0000000000000004;2600
18;1;-4.0284097841592015;0;-1.;2600
18;1;-4.007794698691335;0;-1.;2600
18;1;-4.001547244240442;0;-0.9999999999999997;2600
18;1;-3.9884453071658896;0;-0.9999999999999996;2600
18;1;-3.9877684930520303;0;-1.0000000000000002;2600
18;1;-3.9645768574318936;0;-0.9999999999999999;2600
18;1;-3.9331511198589197;0;-0.9999999999999998;2600
18;1;-3.928013266905957;0;-0.9999999999999999;2600
18;1;-3.8964919611916002;0;-1.;2600
18;1;-3.8729989698207703;0;-1.0000000000000004;2600
18;1;-3.864531466068044;0;-1.;2600
18;1;-4.024287297139843;1.;-3.;2600
18;1;-4.009687281136557;0.9999999999999998;-2.9999999999999996;2600
18;1;-3.9910603517835597;1.0000000000000002;-3.000000000000001;2600
18;1;-3.9811712196577886;1.0000000000000002;-3.000000000000001;2600
18;1;-3.9551304583096893;0.9999999999999998;-2.9999999999999982;2600
18;1;-3.949110765109978;1.0000000000000002;-3.000000000000001;2600
18;1;-3.941322891313071;1.;-3.0000000000000004;2600
18;1;-3.938086094152794;1.0000000000000002;-3.000000000000001;2600
18;1;-3.9328813945885557;0.9999999999999998;-2.9999999999999987;2600
18;1;-3.9092014694563204;1.0000000000000002;-3.0000000000000013;2600
18;1;-3.897840433907291;0.9999999999999996;-2.9999999999999982;2600
18;1;-3.8858975710545423;0.9999999999999998;-2.999999999999999;2600
18;1;-3.88387338774924;0.9999999999999998;-2.999999999999999;2600
18;1;-3.8739022606380615;1.;-3.0000000000000004;2600
18;1;-3.8584842650751128;1.;-3.;2600
18;1;-3.84433218062685;1.0000000000000007;-3.0000000000000027;2600
18;1;-3.820842415231681;1.;-2.9999999999999996;2600
18;1;-4.062826935338919;0;0.9999999999999982;2600
18;1;-4.05257158897254;0;0.9999999999999999;2600
18;1;-4.046824668111945;0;1.;2600
18;1;-4.042177706030515;0;0.9999999999999993;2600
18;1;-4.028409784159194;0;0.9999999999999998;2600
18;1;-4.007794698691335;0;1.0000000000000007;2600
18;1;-4.001547244240442;0;1.0000000000000004;2600
18;1;-3.7936072763246855;2.;-7.;2600
18;1;-3.9884453071658967;0;1.0000000000000013;2600
18;1;-3.9877684930520374;0;1.0000000000000013;2600
18;1;-3.9645768574318936;0;0.9999999999999994;2600
18;1;-3.9331511198589197;0;0.9999999999999993;2600
18;1;-3.928013266905957;0;1.0000000000000004;2600
18;1;-3.8964919611916002;0;0.9999999999999998;2600
18;1;-3.8729989698207703;0;0.9999999999999997;2600
18;1;-3.864531466068037;0;0.9999999999999991;2600
