N;lv;E_1;S;M;T
13;0;-2.466901617897644;0.5;-3.;899
13;0;-2.4669016178972676;0.5;-1.;899
13;0;-2.4669016178972676;0.5;1.;899
13;0;-2.466901617897644;0.5;3.;899
13;1;-2.3873241463527997;0.5000000000000004;-8.00000000000001;960
13;1;-2.456954433955403;0.4999999999999998;-5.9999999999999964;960
13;1;-2.3972713302956272;0.5;-6.;960
13;1;-2.3773769624101;0.4999999999999999;-5.999999999999999;960
13;1;-2.4675188047930376;0.5;-4.;960
13;1;-2.438041462017651;0.4999999999999998;-3.9999999999999987;960
13;1;-2.4266246794691426;0.4999999999999999;-3.999999999999999;960
13;1;-2.3920457495612695;0.4999999999999999;-3.9999999999999987;960
13;1;-2.3591766185085703;0.5000000000000002;-4.000000000000003;960
13;1;-2.31016785136865;0.5;-4.;960
13;1;-2.51402796760069;0.4999999999999998;-1.9999999999999991;960
13;1;-2.454195999906478;0.5;-2.0000000000000004;960
13;1;-2.4317376689125254;0.5;-2.000000000000001;960
13;1;-2.4252415476464257;0.5;-2.0000000000000004;960
13;1;-2.307746674806438;1.4999999999999996;-5.999999999999998;960
13;1;-2.4048159474331428;0.4999999999999998;-1.999999999999999;960
13;1;-2.3724829444633286;0.5000000000000002;-2.000000000000001;960
13;1;-2.365166977591702;0.4999999999999999;-1.9999999999999996;960
13;1;-2.3398149800745855;0.5;-2.000000000000001;960
13;1;-2.515237817104442;0.5;0;960
13;1;-2.4626453116714124;0.5;0;960
13;1;-2.4513406532841557;0.4999999999999999;0;960
13;1;-2.4223432206017357;0.4999999999999999;0;960
13;1;-2.321814117246827;1.5000000000000004;-4.000000000000003;960
13;1;-2.408638728660101;0.5;0;960
13;1;-2.4029925656848867;0.5;0;960
13;1;-2.293679232366916;1.4999999999999993;-3.9999999999999973;960
13;1;-2.388461180021636;0.5;0;960
13;1;-2.3519916636712423;0.5;0;960
13;1;-2.307746674806438;1.4999999999999993;5.9999999999999964;960
13;1;-2.340892958998605;0.49999999999999956;0;960
13;1;-2.51402796760069;0.5;1.9999999999999998;960
13;1;-2.355017264127916;1.5;-2.000000000000001;960
13;1;-2.454195999906478;0.5;2.0000000000000004;960
13;1;-2.4317376689125254;0.5000000000000002;2.000000000000001;960
13;1;-2.4252415476464293;0.5;2.000000000000001;960
13;1;-2.319587562730529;1.499999999999999;-1.9999999999999973;960
13;1;-2.4048159474331463;0.5;2.;960
13;1;-2.295905786882699;1.4999999999999998;-1.9999999999999993;960
13;1;-2.3724829444633286;0.5;2.;960
13;1;-2.3651669775917057;0.4999999999999999;1.9999999999999998;960
13;1;-2.387324146352796;0.5;8.;960
13;1;-2.260476085485479;1.5;-2.;960
13;1;-2.2936792323669195;1.5000000000000004;4.000000000000002;960
13;1;-2.3398149800745855;0.4999999999999999;1.9999999999999996;960
13;1;-2.321814117246827;1.5;4.000000000000001;960
13;1;-2.467518804793034;0.4999999999999999;3.999999999999999;960
13;1;-2.3564777248839732;1.5;0;960
13;1;-2.438041462017651;0.5;4.;960
13;1;-2.4266246794691426;0.5000000000000002;4.000000000000002;960
13;1;-2.307746674807305;1.5000000000000009;0;960
13;1;-2.3077466748064417;1.5000000000000009;0;960
13;1;-2.3920457495612695;0.5;3.9999999999999996;960
13;1;-2.2604760854854753;1.4999999999999998;1.9999999999999998;960
13;1;-2.3773769624101035;0.5000000000000002;6.0000000000000036;960
13;1;-2.3591766185085703;0.5000000000000002;4.000000000000003;960
13;1;-2.25901562472977;1.5;0;960
13;1;-2.295905786882699;1.5;2.;960
13;1;-2.3972713302956272;0.5;5.999999999999999;960
13;1;-2.3195875627305327;1.5;2.;960
13;1;-2.31016785136865;0.5000000000000002;4.000000000000002;960
13;1;-2.355017264127916;1.4999999999999998;1.9999999999999996;960
13;1;-2.4569544339554064;0.5;6.000000000000001;960
13;2;-2.3176938587503706;0.5000000000000002;-11.000000000000004;1023
13;2;-2.4044247511930763;0.5000000000000002;-9.000000000000002;1023
13;2;-2.36402693883673;0.5;-9.000000000000002;1023
13;2;-2.334693220039302;0.5000000000000002;-9.000000000000004;1023
13;2;-2.2831515338243804;0.49999999999999967;-8.999999999999993;1023
13;2;-2.2792635254194593;0.4999999999999999;-8.999999999999998;1023
13;2;-2.4419612379995357;0.5000000000000002;-7.000000000000005;1023
13;2;-2.427061223861358;0.5000000000000004;-7.000000000000009;1023
13;2;-2.410210865658229;0.5000000000000007;-7.0000000000000115;1023
13;2;-2.3965108154831967;0.5000000000000002;-7.0000000000000036;1023
13;2;-2.3658292186121734;0.49999999999999956;-6.999999999999993;1023
13;2;-2.3541553473944354;0.5;-7.000000000000004;1023
13;2;-2.326603392989604;0.4999999999999999;-7.;1023
13;2;-2.3222192050012467;0.4999999999999999;-6.999999999999999;1023
13;2;-2.308661434808819;0.4999999999999998;-6.999999999999995;1023
13;2;-2.271568036846432;0.5000000000000002;-7.000000000000003;1023
13;2;-2.265547331170776;0.5;-7.000000000000002;1023
13;2;-2.237782521174921;0.5;-7.000000000000002;1023
13;2;-2.2207475795121034;0.4999999999999998;-6.9999999999999964;1023
13;2;-2.0789614441134;2.5000000000000018;5.000000000000006;1023
13;2;-2.4954283371580175;0.5;-5.;1023
13;2;-2.4664493409482056;0.5000000000000004;-5.000000000000005;1023
13;2;-2.4476475401165594;0.5000000000000002;-5.000000000000002;1023
13;2;-2.431683024787297;0.4999999999999999;-4.999999999999998;1023
13;2;-2.4239989572854768;0.4999999999999998;-4.9999999999999964;1023
13;2;-2.4106084508366195;0.5;-5.000000000000002;1023
13;2;-2.4066677322066248;0.4999999999999998;-4.999999999999997;1023
13;2;-2.393698821465353;0.5000000000000002;-5.000000000000002;1023
13;2;-2.380817572267013;0.4999999999999999;-4.999999999999999;1023
13;2;-2.372116105483407;0.4999999999999999;-4.999999999999998;1023
13;2;-2.3609884237235406;0.4999999999999999;-4.999999999999998;1023
13;2;-2.2575749482055656;1.499999999999999;-8.99999999999999;1023
13;2;-2.3570768885539017;0.49999999999999933;-4.999999999999991;1023
13;2;-2.3472826296142806;0.5000000000000002;-5.000000000000003;1023
13;2;-2.330670189868613;0.5;-5.;1023
13;2;-2.3269466283635225;0.5;-5.;1023
13;2;-2.3100726762305044;0.4999999999999998;-4.999999999999999;1023
13;2;-2.30666616031575;0.49999999999999956;-4.999999999999995;1023
13;2;-2.2012502543041137;1.5;-9.000000000000002;1023
13;2;-2.2819403946775623;0.49999999999999967;-4.9999999999999964;1023
13;2;-2.2756795057792516;0.5;-5.000000000000001;1023
13;2;-2.2591529214453345;0.5000000000000004;-5.000000000000005;1023
13;2;-2.2456849207244503;0.5000000000000002;-5.000000000000002;1023
13;2;-2.242390752101052;0.5000000000000002;-5.000000000000003;1023
13;2;-2.231895909009765;0.4999999999999999;-4.999999999999999;1023
13;2;-2.220282953639771;0.5000000000000007;-5.000000000000008;1023
13;2;-2.1959230968649983;0.5000000000000002;-5.000000000000002;1023
13;2;-2.045416741482562;2.5000000000000004;3.000000000000001;1023
13;2;-2.1025589628005115;2.5;3.;1023
13;2;-2.5273618798698614;0.4999999999999999;-2.999999999999999;1023
13;2;-2.4936873911063877;0.5;-3.000000000000001;1023
13;2;-2.474410834378922;0.4999999999999999;-3.;1023
13;2;-2.20125025430411;1.4999999999999998;8.999999999999998;1023
13;2;-2.4428832785334613;0.5;-3.0000000000000004;1023
13;2;-2.441661072824843;0.4999999999999999;-2.999999999999999;1023
13;2;-2.432855749806542;0.5000000000000002;-3.000000000000001;1023
13;2;-2.4272367159112633;0.5000000000000002;-3.000000000000001;1023
13;2;-2.4207701049869215;0.4999999999999999;-2.9999999999999996;1023
13;2;-2.4172752223849265;0.5000000000000002;-3.0000000000000027;1023
13;2;-2.4011632577757958;0.49999999999999967;-2.999999999999998;1023
13;2;-2.2988891301524568;1.5000000000000004;-7.0000000000000036;1023
13;2;-2.257574948205569;1.4999999999999996;8.999999999999996;1023
13;2;-2.3888371026124666;0.5;-3.;1023
13;2;-2.3825474535757287;0.5000000000000002;-3.0000000000000027;1023
13;2;-2.3794862015239104;0.5000000000000002;-3.0000000000000027;1023
13;2;-2.370501450145131;0.5;-2.9999999999999996;1023
13;2;-2.3678929477853146;0.5000000000000002;-3.0000000000000027;1023
13;2;-2.2661033252046465;1.5000000000000004;-7.000000000000004;1023
13;2;-2.365779340668393;0.5;-3.000000000000001;1023
13;2;-2.3547381877105096;0.5000000000000002;-3.0000000000000018;1023
13;2;-2.2480994583533622;1.5000000000000004;-7.000000000000004;1023
13;2;-2.3462956118876512;0.4999999999999998;-2.9999999999999982;1023
13;2;-2.3436311039817284;0.4999999999999999;-2.9999999999999996;1023
13;2;-2.3383891354447996;0.49999999999999967;-2.9999999999999973;1023
13;2;-2.3274813696313785;0.5;-3.000000000000001;1023
13;2;-2.218152492483487;1.5;-7.;1023
13;2;-2.3101503800510983;0.5000000000000004;-3.0000000000000036;1023
13;2;-2.307796952531394;0.5;-3.;1023
13;2;-2.1977357583745736;1.5000000000000013;-7.0000000000000115;1023
13;2;-2.297521340430567;0.4999999999999999;-2.999999999999999;1023
13;2;-2.2910102055538673;0.5000000000000002;-3.0000000000000018;1023
13;2;-2.2847912265257975;0.5000000000000002;-3.0000000000000027;1023
13;2;-2.2695029280544468;0.5000000000000002;-3.0000000000000018;1023
13;2;-2.167389810845588;1.5000000000000009;-7.000000000000006;1023
13;2;-2.263395039484056;0.5;-3.000000000000001;1023
13;2;-2.2540558911911788;0.5;-3.;1023
13;2;-2.2522709622586063;0.5000000000000002;-3.0000000000000018;1023
