N;lv;E_1;S;M;T
16;0;-3.3422538049005723;0;-7.999999999999998;1763
16;0;-3.391989724616792;0;-6.;1763
16;0;-3.4019369085600317;0;-3.9999999999999987;1763
16;0;-3.3767118608644395;0;-4.000000000000002;1763
16;0;-3.3077957489367193;0;-4.0000000000000036;1763
16;0;-3.2925178851843597;0.9999999999999998;-5.999999999999997;1763
16;0;-3.4218312764465395;0;-2.;1763
16;0;-3.372095356730327;0;-1.9999999999999998;1763
16;0;-3.3422538049005723;0;-1.9999999999999998;1763
16;0;-3.3422538049005794;1.0000000000000002;-4.;1763
16;0;-3.282570701241113;1.0000000000000002;-4.000000000000001;1763
16;0;-3.5014087479925067;0;0;1763
16;0;-3.382042540673581;0;0;1763
16;0;-3.3621481727870304;0;0;1763
16;0;-3.3223594370141214;0;0;1763
16;0;-3.3422538049005723;1.;-2.;1763
16;0;-3.312412253070825;0.9999999999999998;-1.9999999999999998;1763
16;0;-3.2626763333546123;1.;-1.9999999999999998;1763
16;0;-3.4218312764465395;0;1.9999999999999998;1763
16;0;-3.372095356730327;0;2.0000000000000018;1763
16;0;-3.3422538049005794;0;2.000000000000001;1763
16;0;-3.342253804900608;0.9999999999999998;0;1763
16;0;-3.342253804900544;1.0000000000000002;0;1763
16;0;-3.302465069127564;0.9999999999999998;0;1763
16;0;-3.401936908560039;0;4.;1763
16;0;-3.3767118608644395;0;4.000000000000002;1763
16;0;-3.3077957489367122;0;4.000000000000001;1763
16;0;-3.3422538049005723;1.;1.9999999999999998;1763
16;0;-3.312412253070825;1.0000000000000002;2.;1763
16;0;-3.2626763333546123;1.;2.;1763
16;0;-3.391989724616792;0;6.000000000000002;1763
16;0;-3.3422538049005794;1.0000000000000002;4.000000000000001;1763
16;0;-3.282570701241113;0.9999999999999998;3.9999999999999982;1763
16;0;-3.183098861808645;2.0000000000000004;0;1763
16;0;-3.3422538049005794;0;8.000000000000004;1763
16;0;-3.2925178851843597;1.0000000000000002;6.000000000000001;1763
16;1;-3.2987348751498473;0;-10.99999999999999;1848
16;1;-3.3498356797435136;0;-9.;1848
16;1;-3.2716489688443886;0;-9.000000000000007;1848
16;1;-3.256069006967678;0;-9.000000000000004;1848
16;1;-3.236564975504578;1.0000000000000002;-11.000000000000002;1848
16;1;-3.4127896085934353;0;-6.999999999999996;1848
16;1;-3.349940397458539;0;-7.000000000000002;1848
16;1;-3.3114343981547094;0;-7.;1848
16;1;-3.3008743654340336;0;-7.000000000000005;1848
16;1;-3.2692121752666523;0;-6.999999999999995;1848
16;1;-3.262491278405882;0;-6.9999999999999964;1848
16;1;-3.211756658579141;0;-6.9999999999999964;1848
16;1;-3.281141781572515;1.0000000000000002;-9.000000000000004;1848
16;1;-3.2515363599415252;1.0000000000000009;-9.000000000000012;1848
16;1;-3.2111922356850755;1.0000000000000007;-9.000000000000007;1848
16;1;-3.197415932846802;0.9999999999999998;-8.999999999999998;1848
16;1;-3.433783466758861;0;-5.000000000000001;1848
16;1;-3.4060121257695215;0;-5.;1848
16;1;-3.3638044318481732;0;-5.000000000000003;1848
16;1;-3.344211482052394;0;-4.999999999999998;1848
16;1;-3.32005061546635;0;-5.000000000000002;1848
16;1;-3.3150866651118136;0;-5.000000000000005;1848
16;1;-3.30361925888608;0;-4.999999999999999;1848
16;1;-3.2919755255993266;0;-5.;1848
16;1;-3.25650462670761;0;-4.999999999999999;1848
16;1;-3.2313047026567006;0;-5.000000000000003;1848
16;1;-3.2150659176296372;0;-5.000000000000001;1848
16;1;-3.1978979307714894;0;-5.;1848
16;1;-3.321102552341358;1.0000000000000002;-7.000000000000002;1848
16;1;-3.296501945768135;0.9999999999999998;-6.999999999999997;1848
16;1;-3.2719287265082286;0.9999999999999998;-6.9999999999999964;1848
16;1;-3.2549820880685374;1.0000000000000007;-7.000000000000007;1848
16;1;-3.2379158986297796;0.9999999999999998;-7.;1848
16;1;-3.2244985987958543;1.0000000000000004;-7.000000000000004;1848
16;1;-3.2166120681064285;1.0000000000000002;-7.;1848
16;1;-3.1850912749010405;1.0000000000000002;-7.000000000000002;1848
16;1;-3.165213954165651;1.0000000000000007;-7.000000000000005;1848
16;1;-3.458173768820572;0;-3.0000000000000036;1848
16;1;-3.411957231420402;0;-2.999999999999999;1848
16;1;-3.39162198287341;0;-2.9999999999999964;1848
16;1;-3.3859197784293826;0;-3.;1848
16;1;-3.371023746406962;0;-3.;1848
16;1;-3.3509684635776367;0;-2.9999999999999956;1848
16;1;-3.3371577012372953;0;-2.999999999999999;1848
16;1;-3.326643310701357;0;-3.000000000000002;1848
16;1;-3.302739590304732;0;-3.0000000000000018;1848
16;1;-3.2828468715228922;0;-3.;1848
16;1;-3.2793326690467453;0;-2.9999999999999982;1848
16;1;-3.2673002660300483;0;-3.0000000000000018;1848
16;1;-3.2555605014235667;0;-2.9999999999999996;1848
16;1;-3.2404678728632916;0;-3.000000000000002;1848
16;1;-3.2275771369537125;0;-2.9999999999999996;1848
16;1;-3.185859997900465;0;-2.999999999999999;1848
16;1;-3.1649837271114905;0;-2.9999999999999996;1848
16;1;-3.354351652894721;1.000000000000001;-5.000000000000009;1848
16;1;-3.332910182207428;1.;-5.000000000000001;1848
16;1;-3.304366425081085;1.0000000000000007;-5.000000000000005;1848
16;1;-3.2951869227490675;1.0000000000000004;-5.0000000000000036;1848
16;1;-3.274470546898584;1.0000000000000002;-5.000000000000002;1848
16;1;-3.2715556445721035;0.9999999999999998;-4.999999999999997;1848
16;1;-3.2586506068997494;0.9999999999999998;-4.999999999999999;1848
16;1;-3.245922945423075;1.;-5.;1848
16;1;-3.2388217892861775;0.9999999999999996;-4.9999999999999964;1848
16;1;-3.230474871040599;1.;-5.;1848
16;1;-3.2174646486016627;0.9999999999999996;-4.9999999999999964;1848
16;1;-3.2066383194643677;1.0000000000000004;-5.000000000000003;1848
16;1;-3.1962950754257875;0.9999999999999993;-4.999999999999996;1848
16;1;-3.185400201740478;1.0000000000000004;-5.0000000000000036;1848
16;1;-3.1525497403162532;1.;-5.000000000000001;1848
16;1;-3.149293426732747;1.0000000000000007;-5.000000000000006;1848
16;1;-3.432477418395756;0;-1.0000000000000004;1848
16;1;-3.401634696717693;0;-0.9999999999999992;1848
16;1;-3.387867624536284;0;-0.9999999999999999;1848
16;1;-3.384324183739963;0;-1.0000000000000004;1848
16;1;-3.3803181967549847;0;-0.9999999999999996;1848
16;1;-3.3662394900792307;0;-1.0000000000000004;1848
16;1;-3.3644879706388338;0;-1.0000000000000002;1848
16;1;-3.347003410416079;0;-1.;1848
16;1;-3.33633437897619;0;-1.0000000000000002;1848
16;1;-3.3158681180318155;0;-1.;1848
16;1;-3.309122040310612;0;-1.0000000000000009;1848
16;1;-3.291814909192027;0;-1.0000000000000009;1848
16;1;-3.286903587260632;0;-1.;1848
16;1;-3.2762420071199827;0;-0.9999999999999996;1848
16;1;-3.258628915197157;0;-0.9999999999999998;1848
16;1;-3.2474553991580137;0;-0.9999999999999994;1848
16;1;-3.2376448619490077;0;-0.9999999999999993;1848
16;1;-3.200410508940436;0;-1.;1848
16;1;-3.1859886893561864;0;-0.9999999999999996;1848
16;1;-3.36201017863862;1.;-3.;1848
16;1;-3.161631377097578;0;-1.;1848
16;1;-3.34376606205025;1.0000000000000009;-3.0000000000000036;1848
16;1;-3.339731280468314;0.9999999999999998;-3.;1848
16;1;-3.333397188938477;1.;-3.0000000000000004;1848
16;1;-3.3078096056571553;1.0000000000000002;-3.0000000000000013;1848
16;1;-3.3045832603833674;1.0000000000000002;-3.0000000000000013;1848
16;1;-3.2916463535403864;1.000000000000001;-3.0000000000000058;1848
16;1;-3.284041125570475;1.;-3.000000000000001;1848
16;1;-3.273082896546775;1.0000000000000002;-3.000000000000001;1848
16;1;-3.264003049649986;1.0000000000000007;-3.000000000000002;1848
16;1;-3.2529283451805;1.0000000000000002;-3.000000000000001;1848
16;1;-3.2406801168461215;1.0000000000000002;-3.000000000000001;1848
16;1;-3.2333635518502177;1.0000000000000004;-3.000000000000002;1848
16;1;-3.221230970276423;1.0000000000000002;-3.0000000000000018;1848
16;1;-3.2104079690328717;1.;-3.;1848
16;1;-3.2078183024274125;1.0000000000000007;-3.0000000000000027;1848
16;1;-3.204401867003604;1.0000000000000002;-3.0000000000000013;1848
16;1;-3.198722404283018;1.;-3.;1848
16;1;-3.18322813578375;1.;-3.;1848
16;1;-3.1693781621797683;1.000000000000001;-3.0000000000000044;1848
16;1;-3.15710778757461;1.;-2.999999999999999;1848
16;1;-3.1410037243954747;0.9999999999999996;-2.999999999999999;1848
16;1;-3.1305165531061974;1.0000000000000002;-3.000000000000001;1848
16;1;-3.432477418395756;0;0.9999999999999997;1848
16;1;-3.401634696717693;0;1.;1848
16;1;-3.387867624536284;0;0.9999999999999999;1848
16;1;-3.384324183739963;0;1.;1848
16;1;-3.3803181967549847;0;1.0000000000000009;1848
16;1;-3.3662394900792307;0;0.9999999999999998;1848
16;1;-3.364487970638841;0;1.0000000000000018;1848
16;1;-3.347003410416079;0;1.;1848
16;1;-3.33633437897619;0;0.9999999999999997;1848
16;1;-3.3158681180318226;0;1.0000000000000002;1848
16;1;-3.1134685742065216;2.0000000000000018;-7.00000000000001;1848
16;1;-3.309122040310612;0;1.0000000000000004;1848
16;1;-3.29181490919202;0;0.9999999999999996;1848
16;1;-3.286903587260632;0;1.0000000000000009;1848
16;1;-3.27624200711999;0;1.0000000000000018;1848
16;1;-3.258628915197157;0;0.9999999999999991;1848
16;1;-3.247455399158021;0;1.;1848
16;1;-3.2376448619490077;0;0.9999999999999996;1848
16;1;-3.2004105089404433;0;1.0000000000000016;1848
16;1;-3.1859886893561864;0;1.0000000000000004;1848
16;1;-3.161631377097578;0;0.9999999999999989;1848
16;1;-3.358724033591244;1.0000000000000002;-1.0000000000000004;1848
16;1;-3.352532909360697;0.9999999999999998;-0.9999999999999996;1848
16;1;-3.3443118496110102;0.9999999999999991;-0.9999999999999987;1848
16;1;-3.328186864219795;1.0000000000000007;-1.0000000000000009;1848
16;1;-3.325158012210977;0.9999999999999998;-0.9999999999999996;1848
16;1;-3.31214227718327;1.0000000000000002;-1.0000000000000004;1848
16;1;-3.3010050144588234;1.0000000000000002;-1.0000000000000002;1848
16;1;-3.290308144731455;0.9999999999999996;-0.9999999999999993;1848
16;1;-3.1134685742065145;1.9999999999999991;6.999999999999995;1848
16;1;-3.2776747041144816;1.0000000000000002;-1.0000000000000004;1848
16;1;-3.275462891714483;0.9999999999999991;-0.9999999999999988;1848
16;1;-3.2576373815282196;0.9999999999999993;-0.999999999999999;1848
16;1;-3.252980908370006;1.0000000000000002;-1.0000000000000002;1848
16;1;-3.249184022145002;1.0000000000000013;-1.000000000000002;1848
16;1;-3.240308180304247;1.0000000000000002;-1.0000000000000004;1848
16;1;-3.2345519026715763;1.0000000000000007;-1.0000000000000009;1848
16;1;-3.2265791302463924;0.9999999999999998;-0.9999999999999996;1848
16;1;-3.2155801336302687;1.0000000000000002;-1.0000000000000007;1848
16;1;-3.2128569809288123;1.0000000000000002;-1.0000000000000002;1848
16;1;-3.2088907280999166;1.0000000000000009;-1.0000000000000013;1848
16;1;-3.2040613367271007;1.0000000000000004;-1.0000000000000007;1848
16;1;-3.1903358532575155;1.0000000000000004;-1.0000000000000007;1848
16;1;-3.1853858377123743;1.0000000000000002;-1.0000000000000004;1848
16;1;-3.1761624880123946;1.;-1.0000000000000002;1848
16;1;-3.1608610109273556;0.9999999999999998;-0.9999999999999996;1848
16;1;-3.1534693942110437;1.0000000000000007;-1.0000000000000009;1848
16;1;-3.1266827868263505;1.0000000000000004;-1.0000000000000004;1848
16;1;-3.1201896487207748;1.0000000000000002;-1.0000000000000004;1848
16;1;-3.458173768820558;0;2.9999999999999964;1848
16;1;-3.411957231420402;0;3.0000000000000013;1848
16;1;-3.391621982873417;0;3.0000000000000004;1848
16;1;-3.3859197784293897;0;3.0000000000000018;1848
16;1;-3.371023746406962;0;3.000000000000002;1848
16;1;-3.236564975504578;1.;11.000000000000002;1848
16;1;-3.3509684635776438;0;3.0000000000000027;1848
16;1;-3.1433101260361767;1.9999999999999996;-4.999999999999998;1848
16;1;-3.3371577012372953;0;3.000000000000001;1848
16;1;-3.133855424751296;2.0000000000000013;-5.000000000000005;1848
16;1;-3.326643310701357;0;3.000000000000001;1848
16;1;-3.302739590304732;0;3.000000000000001;1848
16;1;-3.0831345397194383;2.0000000000000004;-5.000000000000001;1848
16;1;-3.2828468715228922;0;3.0000000000000013;1848
16;1;-3.2793326690467453;0;2.999999999999999;1848
16;1;-3.267300266030041;0;2.999999999999999;1848
16;1;-3.2555605014235667;0;3.000000000000002;1848
16;1;-3.2404678728632916;0;3.0000000000000018;1848
16;1;-3.2275771369537054;0;2.999999999999997;1848
16;1;-3.185859997900465;0;3.000000000000003;1848
16;1;-3.1649837271114905;0;3.0000000000000004;1848
16;1;-3.358724033591244;0.9999999999999993;0.999999999999999;1848
16;1;-3.352532909360697;1.;0.9999999999999998;1848
16;1;-3.3443118496110174;1.0000000000000002;1.0000000000000002;1848
16;1;-3.328186864219788;1.;1.;1848
16;1;-3.325158012210977;0.9999999999999991;0.9999999999999987;1848
