N;lv;E_1;S;M;T
19;0;-4.376760934995403;0.5;-3.;2915
19;0;-4.3767609349958505;0.5;-1.;2915
19;0;-4.3767609349958505;0.5;1.;2915
19;0;-4.376760934995403;0.5;3.;2915
19;1;-4.30340045341454;0.5;-10.;3024
19;1;-4.362844267952838;0.5000000000000002;-8.000000000000004;3024
19;1;-4.313982384929609;0.5000000000000002;-8.000000000000007;3024
19;1;-4.299274800985934;0.5;-8.000000000000004;3024
19;1;-4.372637371216925;0.4999999999999999;-5.999999999999998;3024
19;1;-4.341688953464775;0.4999999999999999;-5.999999999999999;3024
19;1;-4.3386216724381725;0.5000000000000002;-6.0000000000000036;3024
19;1;-4.326034817721947;0.4999999999999999;-5.999999999999998;3024
19;1;-4.297367445395928;0.5;-6.000000000000001;3024
19;1;-4.272122453521071;0.5;-6.000000000000001;3024
19;1;-4.4252789225326055;0.5;-4.000000000000001;3024
19;1;-4.3623806430630125;0.5;-4.000000000000002;3024
19;1;-4.345769214977196;0.5000000000000004;-4.000000000000005;3024
19;1;-4.337421078759547;0.5;-4.000000000000001;3024
19;1;-4.33053109450308;0.5;-4.000000000000002;3024
19;1;-4.222579583876097;1.5000000000000009;-8.000000000000007;3024
19;1;-4.307541918777417;0.5;-4.000000000000001;3024
19;1;-4.298220421723997;0.5;-4.000000000000001;3024
19;1;-4.285762864460011;0.5;-3.999999999999999;3024
19;1;-4.260266162667783;0.4999999999999998;-3.999999999999998;3024
19;1;-4.433259526224724;0.5000000000000002;-2.0000000000000013;3024
19;1;-4.375528603336441;0.5;-2.000000000000001;3024
19;1;-4.353928656819164;0.4999999999999998;-1.9999999999999991;3024
19;1;-4.248978845821988;1.5;-6.;3024
19;1;-4.34636284746545;0.5000000000000002;-2.000000000000001;3024
19;1;-4.332959655846423;0.49999999999999967;-1.9999999999999984;3024
19;1;-4.321655696899349;0.49999999999999967;-1.9999999999999982;3024
19;1;-4.312803264873999;0.5;-2.000000000000001;3024
19;1;-4.211101097844981;1.4999999999999996;-5.999999999999997;3024
19;1;-4.306657918832499;0.5;-2.0000000000000004;3024
19;1;-4.301671019872096;0.5000000000000002;-2.0000000000000018;3024
19;1;-4.2708467353624116;0.5000000000000002;-2.0000000000000013;3024
