N;lv;E_1;S;M;T
11;0;-1.9098593170782578;0.5;-2.;528
11;0;-1.9098593170791212;0.5;0;528
11;0;-1.9098593170782578;0.5;2.;528
11;1;-1.8402290294762018;0.5000000000000002;-7.0000000000000036;575
11;1;-1.9059356630602444;0.5;-5.;575
11;1;-1.8601233973630222;0.5;-5.000000000000001;575
11;1;-1.8342054995522084;0.5;-5.;575
11;1;-1.9507718510918046;0.4999999999999999;-2.9999999999999996;575
11;1;-1.878787651282913;0.5000000000000002;-3.0000000000000018;575
11;1;-1.8763515839512408;0.49999999999999956;-2.999999999999997;575
11;1;-1.8339111548774731;0.5;-3.000000000000001;575
11;1;-1.800583481384109;0.4999999999999999;-2.9999999999999987;575
11;1;-1.7407571900450485;1.4999999999999993;4.999999999999996;575
11;1;-1.964914355606421;0.4999999999999999;-0.9999999999999997;575
11;1;-1.9059456175598122;0.5;-1.0000000000000002;575
11;1;-1.8800169888004987;0.5;-1.;575
11;1;-1.8476859556597809;0.4999999999999999;-0.9999999999999999;575
11;1;-1.7407571900450485;1.4999999999999996;-4.999999999999998;575
11;1;-1.829318518511375;0.4999999999999999;-1.;575
11;1;-1.796020566422957;0.5000000000000002;-1.0000000000000004;575
11;1;-1.7571730432086525;0.5000000000000002;-1.0000000000000007;575
11;1;-1.7171596713566224;1.4999999999999996;2.9999999999999987;575
11;1;-1.8402290294762018;0.4999999999999998;6.9999999999999964;575
11;1;-1.7743018926754743;1.5;3.0000000000000004;575
11;1;-1.9649143556064246;0.5000000000000002;1.0000000000000007;575
11;1;-1.9059456175598122;0.5;1.0000000000000004;575
11;1;-1.8800169888004987;0.4999999999999999;1.;575
11;1;-1.7743018926754743;1.5;-3.000000000000001;575
11;1;-1.8476859556597809;0.4999999999999999;1.;575
11;1;-1.8293185185113785;0.5000000000000002;1.0000000000000007;575
11;1;-1.717159671356626;1.5000000000000004;-3.0000000000000013;575
11;1;-1.7960205664229534;0.4999999999999998;0.9999999999999993;575
11;1;-1.7571730432086525;0.5000000000000002;1.0000000000000002;575
11;1;-1.7247864761774885;1.5;1.0000000000000004;575
11;1;-1.8342054995522084;0.4999999999999999;4.999999999999998;575
11;1;-1.750704373987631;1.5000000000000004;1.0000000000000004;575
11;1;-1.8601233973630222;0.5;5.000000000000001;575
11;1;-1.7965166396846328;1.5000000000000004;1.0000000000000007;575
11;1;-1.9059356630602444;0.4999999999999999;4.999999999999998;575
11;1;-1.9507718510918046;0.5000000000000002;3.000000000000002;575
11;1;-1.7965166396846328;1.4999999999999993;-0.9999999999999996;575
11;1;-1.878787651282913;0.5000000000000002;3.0000000000000013;575
11;1;-1.8763515839512408;0.49999999999999944;2.999999999999996;575
11;1;-1.750704373987631;1.4999999999999998;-0.9999999999999998;575
11;1;-1.8339111548774731;0.5;3.0000000000000004;575
11;1;-1.7247864761774885;1.4999999999999996;-0.9999999999999998;575
11;1;-1.800583481384109;0.5;3.;575
11;2;-1.7606515579315882;0.4999999999999998;-9.999999999999996;624
11;2;-1.8366083575758445;0.5;-8.;624
11;2;-1.8215691307672515;0.5000000000000002;-8.000000000000004;624
11;2;-1.7461435651085182;0.5;-8.000000000000002;624
11;2;-1.7004550779187255;0.49999999999999967;-7.999999999999996;624
11;2;-1.5119719593511434;2.5000000000000004;4.;624
11;2;-1.8977393154797149;0.5000000000000002;-6.000000000000002;624
11;2;-1.8799472874585987;0.4999999999999999;-5.999999999999999;624
11;2;-1.8392976921114546;0.5;-6.000000000000003;624
11;2;-1.8220162196980993;0.5000000000000002;-6.000000000000005;624
11;2;-1.7937660325653972;0.4999999999999999;-5.999999999999999;624
11;2;-1.779196397835463;0.49999999999999967;-5.999999999999996;624
11;2;-1.7544222555053715;0.4999999999999998;-5.9999999999999964;624
11;2;-1.7298364881895694;0.5000000000000002;-6.000000000000003;624
11;2;-1.7195706828656867;0.5;-6.000000000000002;624
11;2;-1.6692443580173695;0.5;-6.;624
11;2;-1.511971959351147;2.5000000000000004;2.000000000000001;624
11;2;-1.691021270328477;1.5000000000000009;8.000000000000007;624
11;2;-1.9495998454619752;0.4999999999999999;-3.999999999999999;624
11;2;-1.9151967287015061;0.5;-4.000000000000001;624
11;2;-1.8815177038278499;0.4999999999999999;-3.9999999999999982;624
11;2;-1.874048744634699;0.5;-3.9999999999999996;624
11;2;-1.8623331476860194;0.5000000000000002;-4.000000000000002;624
11;2;-1.8541801385417536;0.5000000000000002;-4.000000000000003;624
11;2;-1.8480984467108783;0.5;-4.000000000000001;624
11;2;-1.8350263942346636;0.4999999999999999;-3.999999999999999;624
11;2;-1.8201169652375668;0.5;-4.;624
11;2;-1.8069434631201275;0.4999999999999999;-3.999999999999999;624
11;2;-1.799493547830025;0.5;-3.999999999999999;624
11;2;-1.691021270328477;1.4999999999999996;-7.9999999999999964;624
11;2;-1.7765918270290086;0.5000000000000002;-4.0000000000000036;624
11;2;-1.765873694060609;0.5000000000000002;-4.000000000000002;624
11;2;-1.7361150090867419;0.5000000000000002;-4.000000000000003;624
11;2;-1.7281654186266167;0.5;-4.000000000000001;624
11;2;-1.7253528932570426;0.5;-4.;624
11;2;-1.717520111782413;0.5000000000000002;-4.000000000000003;624
